Team,Year,Bronze,Gold,Silver,Total Medals,Country,Country_Code,Population,log10(Population),Country Name,Country Code,Indicator Name,GDP,GDP (in USD)
Afghanistan,2008,1.0,0.0,0.0,1.0,Afghanistan,AFG,27294031.0,7.436067680476635,Afghanistan,AFG,GDP (current US$),10109218067.7904,10109218067.7904
Afghanistan,2012,1.0,0.0,0.0,1.0,Afghanistan,AFG,30696958.0,7.487095339996014,Afghanistan,AFG,GDP (current US$),20001615788.6719,20001615788.6719
Algeria,1984,2.0,0.0,0.0,2.0,Algeria,DZA,21893853.0,7.340322197812275,Algeria,DZA,GDP (current US$),53698278905.9678,53698278905.9678
Algeria,1992,1.0,1.0,0.0,2.0,Algeria,DZA,27181094.0,7.434266932477478,Algeria,DZA,GDP (current US$),48003298223.1178,48003298223.1178
Algeria,1996,1.0,2.0,0.0,3.0,Algeria,DZA,29411415.0,7.4685159191656565,Algeria,DZA,GDP (current US$),46941496779.8499,46941496779.8499
Algeria,2000,3.0,1.0,1.0,5.0,Algeria,DZA,31183660.0,7.493927086623186,Algeria,DZA,GDP (current US$),54786074940.2073,54786074940.2073
Algeria,2008,1.0,0.0,1.0,2.0,Algeria,DZA,34860715.0,7.542336290329056,Algeria,DZA,GDP (current US$),170997541140.985,170997541140.985
Algeria,2012,0.0,1.0,0.0,1.0,Algeria,DZA,37565847.0,7.574793185356775,Algeria,DZA,GDP (current US$),209062886917.045,209062886917.045
Algeria,2016,0.0,0.0,2.0,2.0,Algeria,DZA,40606052.0,7.608590766442409,Algeria,DZA,GDP (current US$),160032930353.764,160032930353.764
Argentina,1960,1.0,0.0,0.0,1.0,Argentina,ARG,20619075.0,7.314269178338064,Argentina,ARG,GDP (current US$),,
Argentina,1964,0.0,0.0,1.0,1.0,Argentina,ARG,21953929.0,7.3415122553445125,Argentina,ARG,GDP (current US$),25605249381.7597,25605249381.7597
Argentina,1968,2.0,0.0,0.0,2.0,Argentina,ARG,23261278.0,7.36663357166073,Argentina,ARG,GDP (current US$),26436857247.4982,26436857247.4982
Argentina,1972,0.0,0.0,1.0,1.0,Argentina,ARG,24782949.0,7.394152983162919,Argentina,ARG,GDP (current US$),34733000536.2862,34733000536.2862
Argentina,1988,12.0,0.0,1.0,13.0,Argentina,ARG,31795517.0,7.502365891072162,Argentina,ARG,GDP (current US$),126206817196.091,126206817196.091
Argentina,1992,2.0,0.0,0.0,2.0,Argentina,ARG,33655151.0,7.527051543438884,Argentina,ARG,GDP (current US$),228788617201.696,228788617201.696
Argentina,1996,1.0,0.0,19.0,20.0,Argentina,ARG,35419682.0,7.5492446577500125,Argentina,ARG,GDP (current US$),272149750000.0,272149750000.0
Argentina,2000,3.0,0.0,17.0,20.0,Argentina,ARG,37057452.0,7.568875554745905,Argentina,ARG,GDP (current US$),284203750000.0,284203750000.0
Argentina,2004,21.0,28.0,0.0,49.0,Argentina,ARG,38728696.0,7.588032874483156,Argentina,ARG,GDP (current US$),164657930452.787,164657930452.787
Argentina,2008,31.0,20.0,0.0,51.0,Argentina,ARG,40382389.0,7.606192007991147,Argentina,ARG,GDP (current US$),361558037110.419,361558037110.419
Argentina,2012,3.0,1.0,15.0,19.0,Argentina,ARG,42096739.0,7.624248454763032,Argentina,ARG,GDP (current US$),545982375701.128,545982375701.128
Argentina,2016,0.0,21.0,1.0,22.0,Argentina,ARG,43847430.0,7.641944143436893,Argentina,ARG,GDP (current US$),557531376217.967,557531376217.967
Armenia,1996,0.0,1.0,1.0,2.0,Armenia,ARM,3168215.0,6.500814645816859,Armenia,ARM,GDP (current US$),1596968913.27897,1596968913.27897
Armenia,2000,1.0,0.0,0.0,1.0,Armenia,ARM,3069588.0,6.4870800883977235,Armenia,ARM,GDP (current US$),1911563665.3900602,1911563665.3900602
Armenia,2008,6.0,0.0,0.0,6.0,Armenia,ARM,2908220.0,6.46362725678537,Armenia,ARM,GDP (current US$),11662040713.8753,11662040713.8753
Armenia,2012,2.0,0.0,1.0,3.0,Armenia,ARM,2881922.0,6.459682222339177,Armenia,ARM,GDP (current US$),10619320048.5857,10619320048.5857
Armenia,2016,0.0,1.0,3.0,4.0,Armenia,ARM,2924816.0,6.466098549837621,Armenia,ARM,GDP (current US$),10546135160.031,10546135160.031
Australia,1960,11.0,11.0,24.0,46.0,Australia,AUS,10276477.0,7.011844254572509,Australia,AUS,GDP (current US$),18577668271.9229,18577668271.9229
Australia,1964,30.0,5.0,6.0,41.0,Australia,AUS,11167000.0,7.047936516138079,Australia,AUS,GDP (current US$),23764139321.3126,23764139321.3126
Australia,1968,11.0,5.0,35.0,51.0,Australia,AUS,12009000.0,7.079506844824768,Australia,AUS,GDP (current US$),32665472057.3412,32665472057.3412
Australia,1972,2.0,11.0,7.0,20.0,Australia,AUS,13177000.0,7.119816545937216,Australia,AUS,GDP (current US$),51967289719.6262,51967289719.6262
Australia,1976,8.0,0.0,15.0,23.0,Australia,AUS,14033000.0,7.147150525210071,Australia,AUS,GDP (current US$),104921215177.108,104921215177.108
Australia,1980,5.0,6.0,2.0,13.0,Australia,AUS,14692000.0,7.167080919673256,Australia,AUS,GDP (current US$),149774930362.117,149774930362.117
Australia,1984,31.0,7.0,14.0,52.0,Australia,AUS,15544000.0,7.191562787591726,Australia,AUS,GDP (current US$),193242166274.226,193242166274.226
Australia,1988,11.0,18.0,6.0,35.0,Australia,AUS,16532200.0,7.21833065056388,Australia,AUS,GDP (current US$),235659196740.39603,235659196740.39603
Australia,1992,16.0,14.0,27.0,57.0,Australia,AUS,17495000.0,7.242913946818925,Australia,AUS,GDP (current US$),324878874105.975,324878874105.975
Australia,1996,82.0,32.0,16.0,130.0,Australia,AUS,18311000.0,7.262712062631726,Australia,AUS,GDP (current US$),400302731411.229,400302731411.229
Australia,2000,54.0,58.0,69.0,181.0,Australia,AUS,19153000.0,7.282236808665103,Australia,AUS,GDP (current US$),415222633925.76794,415222633925.76794
Australia,2004,31.0,49.0,77.0,157.0,Australia,AUS,20127400.0,7.303787677592032,Australia,AUS,GDP (current US$),612490396927.0171,612490396927.0171
Australia,2008,76.0,31.0,42.0,149.0,Australia,AUS,21249200.0,7.327342584168653,Australia,AUS,GDP (current US$),1053995523724.26,1053995523724.26
Australia,2012,59.0,18.0,37.0,114.0,Australia,AUS,22728254.0,7.356566074207576,Australia,AUS,GDP (current US$),1546151783872.96,1546151783872.96
Australia,2016,25.0,23.0,34.0,82.0,Australia,AUS,24127159.0,7.382506186257617,Australia,AUS,GDP (current US$),1208846993739.99,1208846993739.99
Austria,1960,0.0,1.0,2.0,3.0,Austria,AUT,7047539.0,6.848037487869348,Austria,AUT,GDP (current US$),6592693841.18495,6592693841.18495
Austria,1968,3.0,0.0,2.0,5.0,Austria,AUT,7415403.0,6.870134758320605,Austria,AUT,GDP (current US$),12440625312.8685,12440625312.8685
Austria,1972,2.0,0.0,1.0,3.0,Austria,AUT,7544201.0,6.877613250782821,Austria,AUT,GDP (current US$),22059612417.4058,22059612417.4058
Austria,1976,1.0,0.0,0.0,1.0,Austria,AUT,7565525.0,6.87883907071899,Austria,AUT,GDP (current US$),42959976068.1138,42959976068.1138
Austria,1980,1.0,1.0,3.0,5.0,Austria,AUT,7549433.0,6.877914335176457,Austria,AUT,GDP (current US$),82058912465.4329,82058912465.4329
Austria,1984,1.0,1.0,1.0,3.0,Austria,AUT,7561434.0,6.87860416576965,Austria,AUT,GDP (current US$),67985345161.9558,67985345161.9558
Austria,1988,0.0,1.0,0.0,1.0,Austria,AUT,7585317.0,6.8799737352182,Austria,AUT,GDP (current US$),133339397080.129,133339397080.129
Austria,1992,0.0,0.0,6.0,6.0,Austria,AUT,7840709.0,6.894355335754027,Austria,AUT,GDP (current US$),195078126346.10602,195078126346.10602
Austria,1996,2.0,0.0,1.0,3.0,Austria,AUT,7959017.0,6.900859432330878,Austria,AUT,GDP (current US$),237250948791.26602,237250948791.26602
Austria,2000,0.0,3.0,1.0,4.0,Austria,AUT,8011566.0,6.903717414796489,Austria,AUT,GDP (current US$),196799778883.36102,196799778883.36102
Austria,2004,1.0,3.0,4.0,8.0,Austria,AUT,8171966.0,6.91232655105352,Austria,AUT,GDP (current US$),300904221504.842,300904221504.842
Austria,2008,2.0,0.0,1.0,3.0,Austria,AUT,8321496.0,6.920201408759593,Austria,AUT,GDP (current US$),430294287388.31104,430294287388.31104
Austria,2016,2.0,0.0,0.0,2.0,Austria,AUT,8747358.0,6.9418769011044175,Austria,AUT,GDP (current US$),395227684138.86206,395227684138.86206
Azerbaijan,1996,0.0,0.0,1.0,1.0,Azerbaijan,AZE,7763000.0,6.890029586163417,Azerbaijan,AZE,GDP (current US$),3176703092.30412,3176703092.30412
Azerbaijan,2000,1.0,2.0,0.0,3.0,Azerbaijan,AZE,8048600.0,6.905720344324213,Azerbaijan,AZE,GDP (current US$),5272617196.045171,5272617196.045171
Azerbaijan,2004,4.0,1.0,0.0,5.0,Azerbaijan,AZE,8306500.0,6.919418069406337,Azerbaijan,AZE,GDP (current US$),8680370408.05943,8680370408.05943
Azerbaijan,2008,4.0,1.0,2.0,7.0,Azerbaijan,AZE,8763400.0,6.942672635249994,Azerbaijan,AZE,GDP (current US$),48852482960.0779,48852482960.0779
Azerbaijan,2012,6.0,2.0,2.0,10.0,Azerbaijan,AZE,9295784.0,6.968286023749143,Azerbaijan,AZE,GDP (current US$),69683935845.2138,69683935845.2138
Azerbaijan,2016,10.0,1.0,7.0,18.0,Azerbaijan,AZE,9762274.0,6.989550992935138,Azerbaijan,AZE,GDP (current US$),37867518957.1975,37867518957.1975
Bahrain,2012,1.0,0.0,0.0,1.0,Bahrain,BHR,1300217.0,6.114015840028278,Bahrain,BHR,GDP (current US$),30749335106.383,30749335106.383
Bahrain,2016,0.0,1.0,1.0,2.0,Bahrain,BHR,1425171.0,6.153866976555687,Bahrain,BHR,GDP (current US$),32250132978.7234,32250132978.7234
Barbados,2000,1.0,0.0,0.0,1.0,Barbados,BRB,269847.0,5.431117594197831,Barbados,BRB,GDP (current US$),3121500000.0,3121500000.0
Belarus,1996,16.0,1.0,6.0,23.0,Belarus,BLR,10160000.0,7.0068937079479,Belarus,BLR,GDP (current US$),14756846153.8462,14756846153.8462
Belarus,2000,11.0,3.0,8.0,22.0,Belarus,BLR,9979610.0,6.999113569528107,Belarus,BLR,GDP (current US$),12736856827.9847,12736856827.9847
Belarus,2004,8.0,2.0,5.0,15.0,Belarus,BLR,9730146.0,6.988119356868419,Belarus,BLR,GDP (current US$),23144351851.8519,23144351851.8519
Belarus,2008,16.0,8.0,5.0,29.0,Belarus,BLR,9527985.0,6.979001064761207,Belarus,BLR,GDP (current US$),60763483146.0674,60763483146.0674
Belarus,2012,8.0,3.0,12.0,23.0,Belarus,BLR,9464495.0,6.976097446132421,Belarus,BLR,GDP (current US$),65685102554.8759,65685102554.8759
Belarus,2016,7.0,1.0,4.0,12.0,Belarus,BLR,9507120.0,6.978048975661191,Belarus,BLR,GDP (current US$),47722657820.6675,47722657820.6675
Belgium,1960,2.0,0.0,2.0,4.0,Belgium,BEL,9153489.0,6.961586663971259,Belgium,BEL,GDP (current US$),11658722590.99,11658722590.99
Belgium,1964,1.0,2.0,0.0,3.0,Belgium,BEL,9378113.0,6.9721154613928915,Belgium,BEL,GDP (current US$),15960106680.6732,15960106680.6732
Belgium,1968,2.0,0.0,1.0,3.0,Belgium,BEL,9618756.0,6.983118908080409,Belgium,BEL,GDP (current US$),21376353113.475,21376353113.475
Belgium,1972,0.0,0.0,2.0,2.0,Belgium,BEL,9711115.0,6.987269097111598,Belgium,BEL,GDP (current US$),37209417835.2122,37209417835.2122
Belgium,1976,6.0,0.0,3.0,9.0,Belgium,BEL,9818227.0,6.992033068882992,Belgium,BEL,GDP (current US$),71113883176.5935,71113883176.5935
Belgium,1980,0.0,1.0,0.0,1.0,Belgium,BEL,9859242.0,6.993843526718941,Belgium,BEL,GDP (current US$),126829314112.291,126829314112.291
Belgium,1984,2.0,1.0,2.0,5.0,Belgium,BEL,9855372.0,6.99367302176596,Belgium,BEL,GDP (current US$),83349529879.9218,83349529879.9218
Belgium,1988,2.0,0.0,0.0,2.0,Belgium,BEL,9901664.0,6.99570818503104,Belgium,BEL,GDP (current US$),162299103565.551,162299103565.551
Belgium,1992,2.0,0.0,1.0,3.0,Belgium,BEL,10045158.0,7.001956772143351,Belgium,BEL,GDP (current US$),234781652070.263,234781652070.263
Belgium,1996,2.0,2.0,2.0,6.0,Belgium,BEL,10156637.0,7.006749930967883,Belgium,BEL,GDP (current US$),279201433224.75604,279201433224.75604
Belgium,2000,4.0,0.0,3.0,7.0,Belgium,BEL,10251250.0,7.010776824904296,Belgium,BEL,GDP (current US$),236204532891.1,236204532891.1
Belgium,2004,2.0,1.0,0.0,3.0,Belgium,BEL,10421137.0,7.017915105325048,Belgium,BEL,GDP (current US$),368537000248.324,368537000248.324
Belgium,2008,0.0,1.0,4.0,5.0,Belgium,BEL,10709973.0,7.029788375970437,Belgium,BEL,GDP (current US$),515223524241.98,515223524241.98
Belgium,2012,2.0,0.0,1.0,3.0,Belgium,BEL,11128246.0,7.046426717564659,Belgium,BEL,GDP (current US$),496181260258.3,496181260258.3
Belgium,2016,2.0,2.0,17.0,21.0,Belgium,BEL,11348159.0,7.054925412102566,Belgium,BEL,GDP (current US$),476056833074.336,476056833074.336
Bermuda,1976,1.0,0.0,0.0,1.0,Bermuda,BMU,53200.0,4.725911632295048,Bermuda,BMU,GDP (current US$),386300000.0,386300000.0
Botswana,2012,0.0,0.0,1.0,1.0,Botswana,BWA,2089315.0,6.320003922243881,Botswana,BWA,GDP (current US$),16067155187.0375,16067155187.0375
Brazil,1960,13.0,0.0,0.0,13.0,Brazil,BRA,72207554.0,7.858582633704085,Brazil,BRA,GDP (current US$),15165569912.5199,15165569912.5199
Brazil,1964,12.0,0.0,0.0,12.0,Brazil,BRA,81168654.0,7.909388344227307,Brazil,BRA,GDP (current US$),21211892259.9904,21211892259.9904
Brazil,1968,3.0,0.0,1.0,4.0,Brazil,BRA,90557064.0,7.956922333574002,Brazil,BRA,GDP (current US$),33875881876.3672,33875881876.3672
